symbol,date,price,action,trade_profit,total_profit
SFCL,2021-08-24,625.0,Sell,5.0,360.0
SFCL,2023-06-22,295.1,Buy,,
SFCL,2023-07-02,300.0,Sell,4.899999999999977,364.9
SFCL,2023-07-16,323.0,Buy,,
SFCL,2023-07-25,319.0,Sell,-4.0,360.9
SFCL,2023-12-17,307.0,Buy,,
SFCL,2023-12-24,294.1,Sell,-12.899999999999977,348.0
SFCL,2024-03-17,320.0,Buy,,
SFCL,2024-03-21,326.0,Sell,6.0,354.0
SFCL,2024-05-06,338.0,Buy,,
SFCL,2024-05-13,344.0,Sell,6.0,360.0
SFCL,2024-06-10,354.0,Buy,,
SFCL,2024-06-30,437.0,Sell,83.0,443.0
SFCL,2024-07-15,460.0,Buy,,
SFCL,2024-08-05,629.0,Sell,169.0,612.0
SFCL,2024-11-05,780.3,Buy,,
SFCL,2024-11-12,924.0,Sell,143.70000000000005,755.7
SFCL,,,STOCK_PROFIT,,755.7
SFEF,2023-12-20,8.06,Buy,,
SFEF,2024-01-14,8.77,Sell,0.7099999999999991,0.7099999999999991
SFEF,2024-01-30,8.0,Buy,,
SFEF,2024-02-05,8.0,Sell,0.0,0.7099999999999991
SFEF,2024-07-16,8.6,Buy,,
SFEF,2024-07-28,9.36,Sell,0.7599999999999998,1.4699999999999989
SFEF,2024-08-14,9.62,Buy,,
SFEF,2024-08-22,10.09,Sell,0.47000000000000064,1.9399999999999995
SFEF,2024-11-14,9.5,Buy,,
SFEF,2024-11-24,9.54,Sell,0.03999999999999915,1.9799999999999986
SFEF,2025-02-03,10.15,Buy,,
SFEF,2025-02-12,9.12,Sell,-1.0300000000000011,0.9499999999999975
SFEF,2025-06-12,9.7,Buy,,
SFEF,2025-06-18,9.7,Sell,0.0,0.9499999999999975
SFEF,,,STOCK_PROFIT,,0.9499999999999975
SFMF,2021-03-29,12.85,Buy,,
SFMF,2021-04-12,12.91,Sell,0.0600000000000005,0.0600000000000005
SFMF,2021-05-02,13.25,Buy,,
SFMF,2021-06-14,16.07,Sell,2.8200000000000003,2.880000000000001
SFMF,2021-07-07,15.55,Buy,,
SFMF,2021-07-14,15.9,Sell,0.34999999999999964,3.2300000000000004
SFMF,2022-01-12,11.71,Buy,,
SFMF,2022-01-23,11.98,Sell,0.2699999999999996,3.5
SFMF,2022-02-05,12.23,Buy,,
