symbol,date,open,high,low,close,volume,turnover
EDBL,2025/06/26,561.00,569.00,561.00,562.01,"17,767","9,992,102.80"
EDBL,2025/06/25,556.10,567.20,556.10,561.76,"16,913","9,508,828.90"
EHPL,2025/06/29,540.00,550.00,540.00,548.90,"2,010","1,098,724.00"
EHPL,2025/06/26,532.20,562.00,532.20,540.08,"2,944","1,600,454.10"
EHPL,2025/06/25,533.50,544.00,533.50,540.21,"3,460","1,855,078.10"
ENL,2025/06/29,"1,055.00","1,065.90","1,040.00","1,048.28","2,161","2,271,778.80"
ENL,2025/06/26,"1,061.10","1,080.00","1,029.00","1,061.27","3,133","3,274,544.90"
ENL,2025/06/25,"1,090.00","1,090.00","1,050.00","1,077.96",990,"1,061,487.00"
FMDBL,2025/06/29,733.00,744.40,732.00,743.21,"6,931","5,122,227.20"
FMDBL,2025/06/26,745.00,745.00,731.00,738.58,"7,620","5,587,677.60"
FMDBL,2025/06/25,731.50,744.90,730.40,740.04,"6,203","4,556,359.40"
FOWAD,2025/06/29,"1,077.00","1,110.00","1,076.00","1,097.60","2,886","3,144,610.80"
FOWAD,2025/06/26,"1,072.50","1,093.30","1,072.50","1,080.77","2,141","2,326,085.00"
FOWAD,2025/06/25,"1,072.30","1,089.00","1,072.30","1,081.69","2,337","2,531,683.60"
GBBD85,2025/06/29,"1,065.00","1,065.00","1,052.10","1,052.10",75,"79,552.50"
GBBD85,2025/06/26,"1,055.40","1,065.00","1,055.40","1,065.00",115,"121,883.50"
GBBD85,2025/06/25,"1,060.10","1,060.10","1,060.10","1,060.10",50,"53,005.00"
GBBL,2025/06/29,391.00,399.20,384.10,388.45,"22,977","8,926,670.20"
GBBL,2025/06/26,383.10,389.90,383.10,386.94,"19,636","7,605,587.70"
GBBL,2025/06/25,385.00,390.00,385.00,387.64,"21,692","8,429,113.10"
GBBLPO,2025/06/25,201.30,201.30,201.30,201.30,"20,000","4,026,000.00"
GBILD84/85,2025/06/29,"1,156.40","1,179.00","1,133.30","1,179.00",146,"169,934.40"
GBILD84/85,2025/06/26,"1,180.00","1,180.00","1,180.00","1,180.00",150,"177,000.00"
GBILD86/87,2025/06/29,"1,089.00","1,089.00","1,089.00","1,089.00",55,"59,895.00"
GBILD86/87,2025/06/25,"1,068.00","1,068.00","1,068.00","1,068.00",55,"58,740.00"
GBIME,2025/06/29,229.30,241.00,227.50,237.37,"318,193","74,256,279.30"
GBIME,2025/06/26,228.10,231.00,228.10,229.07,"88,481","20,304,916.00"
GBIME,2025/06/25,231.90,233.00,229.00,230.09,"49,918","11,483,768.90"
GBLBS,2025/06/29,780.00,810.00,780.00,803.36,"10,717","8,499,250.00"
GBLBS,2025/06/26,781.00,794.90,780.00,780.83,"4,865","3,809,264.80"
GBLBS,2025/06/25,794.90,798.50,782.00,783.77,"2,716","2,144,847.70"
GCIL,2025/06/29,493.00,503.00,493.00,495.64,"45,245","22,442,750.10"
GCIL,2025/06/26,505.00,509.90,493.10,495.54,"38,643","19,276,672.60"
GCIL,2025/06/25,507.30,512.00,500.00,504.65,"46,912","23,706,611.20"
GFCL,2025/06/29,605.00,605.00,591.50,599.77,"17,061","10,163,148.10"
GFCL,2025/06/26,610.00,610.00,597.00,598.81,"11,996","7,193,651.70"
GFCL,2025/06/25,610.00,614.00,600.00,600.33,"12,295","7,403,369.80"
GHL,2025/06/29,249.00,253.00,248.00,250.05,"93,026","23,280,169.00"
GHL,2025/06/26,248.00,258.90,248.00,249.64,"315,903","79,984,798.80"
GHL,2025/06/25,251.80,251.80,244.00,246.69,"121,820","30,050,743.70"
